,endothelial cell,epithelial cell of proximal tubule,kidney collecting duct epithelial cell,kidney distal convoluted tubule epithelial cell,kidney loop of Henle epithelial cell,podocyte,immune cell,pericyte
51,0.20627359,0.49476117,0.03729847,0.00590075,0.15837243,0.00095572165,0.081646055,0.0147918435
52,0.19779123,0.5626797,0.018643059,0.0043857927,0.13171332,0.0006905179,0.072704166,0.011392222
53,0.17462419,0.58012784,0.015048332,0.009569714,0.13602403,0.0018203001,0.076292306,0.006493273
54,0.124143414,0.48432502,0.023516135,0.053722207,0.2103197,0.02751879,0.070571326,0.005883424
55,0.1757895,0.5488492,0.02291262,0.00837652,0.15208434,0.0013830307,0.081930265,0.008674416
56,0.16439717,0.5277149,0.012963102,0.014074318,0.23616698,0.0014216048,0.0398171,0.0034448844
57,0.0804467,0.8641536,0.0027214522,0.0057692965,0.023803348,0.0008271563,0.022255054,2.3408818e-05
58,0.10078135,0.8657987,0.0003330251,0.0006047973,0.02228018,8.27843e-05,0.010097297,2.1930331e-05
59,0.19273514,0.6119178,0.007963547,0.0036532916,0.145091,0.0002648468,0.03125041,0.0071239355
60,0.19827233,0.49717173,0.05354957,0.017332178,0.16796745,0.00095122954,0.051838838,0.01291663
61,0.19292039,0.57960314,0.016067877,0.0046265195,0.14951228,0.0003356261,0.04580835,0.0111259
62,0.20017393,0.49107146,0.02610255,0.011903953,0.1893026,0.0006993708,0.07174022,0.009005889
63,0.20748907,0.5073407,0.034774248,0.006171932,0.16761485,0.00017028656,0.059658956,0.016779916
64,0.21591528,0.47480494,0.040501457,0.006485326,0.19200046,0.00018905364,0.055606596,0.014496914
65,0.21004623,0.52699536,0.02246365,0.006098105,0.1527103,0.0006600765,0.07053979,0.010486483
66,0.21073662,0.5457372,0.019219121,0.0041679223,0.15264675,0.00016701529,0.05623676,0.011088568
67,0.18997902,0.47859395,0.032790713,0.011483826,0.1742731,0.00061469345,0.09444833,0.01781634
68,0.2034835,0.5140239,0.025097,0.014819827,0.18095475,0.00021344416,0.054577425,0.0068301447
69,0.19988425,0.44404352,0.04948424,0.016205512,0.22434248,0.00038575797,0.055450823,0.010203407
70,0.14712237,0.35962504,0.09065199,0.04999213,0.29551622,0.0010260299,0.04119495,0.014871343
71,0.09935854,0.5828814,0.007824125,0.06950126,0.17996743,0.00443781,0.055759303,0.000270109
72,0.09974241,0.42958447,0.036758546,0.14053908,0.20068955,0.03509172,0.054949384,0.0026448204
73,0.15740655,0.6794847,0.0127922045,0.039399255,0.03166114,0.06020872,0.018811356,0.0002360526
74,0.096737504,0.8173734,0.0020808356,0.0016042205,0.049995925,0.00026282124,0.031925503,1.9735826e-05
75,0.15877126,0.60179657,0.0131782675,0.008446229,0.17097045,0.0011238997,0.037723,0.007990309
76,0.20470399,0.5838198,0.018682644,0.006106995,0.13693683,0.00032623587,0.034432758,0.01499075
77,0.20867135,0.55083805,0.021058591,0.0068678767,0.15139978,0.0005381568,0.044623416,0.01600282
78,0.19633214,0.44425547,0.070384316,0.012106621,0.20669039,0.00034081185,0.05392593,0.015964372
79,0.20144781,0.46016386,0.050768193,0.0069392766,0.17366414,0.001194241,0.088693604,0.017128972
80,0.18749619,0.16743313,0.15341863,0.021560939,0.36559987,0.00036695178,0.07083314,0.033291087
81,0.2145813,0.44667572,0.04051683,0.010382521,0.21024224,0.00039561404,0.06182349,0.015382303
82,0.20494148,0.50090903,0.047374528,0.007900379,0.1707127,0.00011402148,0.04916281,0.018885043
83,0.20565729,0.53911203,0.029812155,0.0057721203,0.13894723,0.0006308872,0.06272728,0.017340938
84,0.18072179,0.41756755,0.04520929,0.018812574,0.19850266,0.0011787219,0.114490226,0.023517208
85,0.20533802,0.5034747,0.029011652,0.010884154,0.19393742,0.0001141668,0.04391281,0.013327066
86,0.19239813,0.48508283,0.05209652,0.020772222,0.19535731,0.00051162584,0.03642378,0.01735761
87,0.20061922,0.5591361,0.030946936,0.0064295544,0.13049865,0.0004488265,0.059268016,0.012652718
88,0.13193572,0.50249285,0.03162117,0.046550017,0.21264334,0.001396913,0.06934255,0.0040174713
89,0.09050715,0.5005786,0.04291311,0.11216545,0.18248904,0.016092785,0.053060867,0.002193094
90,0.13065812,0.6479591,0.029360488,0.04654277,0.07421358,0.004166663,0.066875406,0.00022381607
91,0.046112046,0.3201953,0.021416554,0.026783723,0.35937783,7.860768e-05,0.22584084,0.00019502913
92,0.0015933291,0.94034916,0.00018380779,0.0037128653,0.05321042,0.00011011302,0.0008400805,2.1441576e-07
93,0.123436205,0.5156064,0.02593215,0.034376673,0.15546064,0.07931652,0.06252294,0.003348446
94,0.19366255,0.52543074,0.026486833,0.01385963,0.1738777,0.00062652194,0.058149822,0.007906173
95,0.2153182,0.5304837,0.021028174,0.004620321,0.16073133,0.0007044415,0.054594196,0.012519634
96,0.20994654,0.49360615,0.043300875,0.010860107,0.16828792,0.001247973,0.050596643,0.022153802
97,0.18989518,0.106740564,0.15954125,0.01753006,0.40365815,0.00024066961,0.07784593,0.04454816
98,0.16964345,0.22885779,0.102711715,0.027149636,0.30514172,0.0011631171,0.11246014,0.052872423
99,0.19779699,0.085127845,0.14329486,0.0118079875,0.43970892,0.0001264945,0.083239816,0.03889712
100,0.17000563,0.094928496,0.16676742,0.024789864,0.41628,0.0007206828,0.08084444,0.045663442
101,0.18184647,0.2623599,0.104694255,0.02691845,0.28858006,0.001655461,0.08723267,0.046712752
102,0.2101335,0.5060499,0.022640461,0.009351026,0.17193475,0.00026279243,0.06375293,0.015874662
103,0.21400027,0.4958687,0.032286968,0.005981862,0.20170724,0.00038797827,0.03587149,0.013895445
104,0.1970543,0.51353407,0.04035445,0.010034013,0.17618561,0.00014673217,0.04818521,0.014505631
105,0.2127989,0.5154808,0.030761324,0.0056907604,0.18392596,0.00036967342,0.036376745,0.014595867
106,0.16100214,0.3878874,0.081263006,0.030595813,0.23343831,0.008292563,0.079040825,0.018479958
107,0.09698073,0.45200625,0.030134812,0.12953056,0.21515274,0.0048978366,0.067875266,0.0034217904
108,0.07819211,0.36274815,0.07428911,0.1868509,0.21196982,0.028734647,0.050779648,0.0064355577
109,0.10988356,0.31991854,0.09085918,0.20097469,0.13103947,0.071384735,0.07345081,0.0024889975
110,0.022576664,0.91304827,0.00053571747,0.02047072,0.036063135,0.004285532,0.003012273,7.655548e-06
111,1.4241161e-05,0.0018247458,0.00011553854,9.4809526e-05,0.00013864957,0.9955846,0.0022203762,7.0026103e-06
112,0.08827938,0.57694227,0.025099702,0.08481881,0.1193341,0.014754455,0.08978756,0.0009837506
113,0.17402272,0.2123802,0.14597714,0.09123842,0.18742082,0.06438057,0.10845523,0.016124934
114,0.1957782,0.56270576,0.020178892,0.0074442737,0.1580544,0.0009006285,0.042398,0.0125398105
115,0.20880252,0.55853206,0.020959402,0.0049972315,0.13360001,0.00031123846,0.06073705,0.012060476
116,0.19581945,0.3932783,0.07070328,0.031085882,0.22937314,0.0011724016,0.061598346,0.01696919
117,0.16481961,0.27695322,0.08477056,0.033671338,0.25773585,0.0028089893,0.11885894,0.06038152
118,0.18520272,0.07449474,0.17976747,0.017000372,0.4152443,0.0011761741,0.085180394,0.041933842
119,0.162373,0.093597375,0.16905114,0.030939898,0.38158885,0.0012752543,0.09616946,0.06500506
120,0.18101494,0.07218614,0.17336822,0.015211545,0.44583884,0.00030083657,0.07347624,0.03860325
121,0.16617401,0.09920182,0.18553422,0.029250208,0.40368876,0.00076147524,0.07746177,0.037927788
122,0.16990224,0.10689611,0.17629136,0.023442961,0.3924242,0.0004345731,0.079551116,0.05105751
123,0.16817917,0.2122942,0.13408501,0.02347958,0.3449541,0.0006503794,0.08823296,0.028124625
124,0.20487347,0.45431802,0.040676575,0.018222736,0.21588992,0.0012569691,0.045988988,0.01877335
125,0.19614157,0.42558086,0.06741207,0.016787788,0.21962468,0.0003874929,0.060801562,0.013263929
126,0.20596372,0.5667271,0.014020905,0.00661796,0.14734112,0.0005877528,0.044255894,0.0144854905
127,0.13624208,0.47174233,0.030641174,0.061243214,0.24410884,0.0012891454,0.046010714,0.0087225195
128,0.099970445,0.46023643,0.029549276,0.10848269,0.23798062,0.003129662,0.05489506,0.005755842
129,0.08442637,0.37973064,0.0638447,0.176132,0.19878314,0.010842665,0.07909799,0.007142518
130,0.11218447,0.30047092,0.10359788,0.14882803,0.15240842,0.081148595,0.08810802,0.013253704
131,0.09595557,0.7121188,0.032250136,0.0360105,0.09198409,0.0011636373,0.029994974,0.00052237156
132,0.00010605556,0.0034727978,0.0007930494,0.0008097598,0.00021104587,0.98451567,0.010076791,1.4858179e-05
133,0.2232884,0.7347506,0.0008224555,0.00058556674,0.036783475,3.3975914e-05,0.0036979965,3.752269e-05
134,0.066083595,0.5940901,0.0119581055,0.11337975,0.18052448,0.0021063597,0.031105036,0.0007525382
135,0.12468709,0.5383288,0.029347736,0.029044285,0.10870254,0.08954022,0.07441892,0.005930358
136,0.13545403,0.6330578,0.013443106,0.011173076,0.13124275,0.003890891,0.07066596,0.001072456
137,0.1685281,0.44730765,0.06671343,0.03181808,0.22300674,0.0030393153,0.047973298,0.011613436
138,0.19411977,0.4185537,0.04449153,0.031392265,0.2203347,0.0006521079,0.07290981,0.017546067
139,0.14085342,0.1353231,0.20056589,0.04984568,0.3642643,0.0013336776,0.06921575,0.038598195
140,0.14290683,0.08272769,0.18289907,0.038825627,0.40757778,0.00074706535,0.07840631,0.06590964
141,0.18227583,0.058955282,0.17221206,0.016239796,0.4591908,0.00018821782,0.072501875,0.038436133
142,0.15642595,0.08866003,0.1802173,0.038485155,0.33270785,0.0021142357,0.09933379,0.10205567
143,0.17457783,0.068610996,0.16112119,0.020172777,0.43864033,0.0003467146,0.09015795,0.04637222
144,0.17084034,0.09234522,0.20774706,0.02413054,0.4144735,0.0007829499,0.059233107,0.030447286
145,0.17828761,0.09289852,0.17481706,0.014410444,0.4333781,0.00028107766,0.068679154,0.037247963
146,0.1650215,0.14381108,0.15608938,0.021192888,0.3792969,0.0006795655,0.093836844,0.040071853
147,0.20448191,0.40237495,0.04057027,0.018723248,0.24912508,0.00069855415,0.07255311,0.011472888
148,0.19088869,0.521062,0.020055618,0.014939651,0.19138278,0.0004245901,0.04491125,0.016335456
149,0.20954224,0.51597565,0.023287369,0.007820066,0.15930544,0.0009477321,0.071118966,0.012002526
150,0.20295365,0.4990039,0.021145454,0.008682823,0.20687515,0.00016731601,0.050754193,0.010417541
151,0.1514942,0.60007143,0.0077904016,0.004895186,0.19851051,0.00031391662,0.034073055,0.0028512594
152,0.11941109,0.63185114,0.009371878,0.008645059,0.17985229,0.00037939355,0.049747773,0.00074142765
153,0.12187497,0.40928307,0.026076674,0.09097422,0.25594896,0.023973,0.069506794,0.0023623204
154,0.06666364,0.87260735,0.0038588047,0.013256461,0.020497484,0.008694704,0.014402105,1.9447616e-05
155,0.04812607,0.45924333,0.004911176,0.0019245512,0.02845314,0.13770847,0.3196254,7.870245e-06
156,0.0013984074,0.9246452,5.030698e-05,0.0004026376,0.07132835,6.5560016e-06,0.0021682272,2.460406e-07
157,0.024211358,0.9481965,0.00069061783,0.00066758366,0.017833265,0.00018623314,0.008212467,2.0479774e-06
158,0.0024894106,0.57484704,0.0063703796,0.076383345,0.33619493,1.3313152e-05,0.0036481053,5.352646e-05
159,0.060886804,0.68172586,0.0009768229,0.058080632,0.17416582,0.00015134839,0.024009898,2.7907283e-06
160,0.06743311,0.5380056,0.021163927,0.088456415,0.21593045,0.023361107,0.042179193,0.0034702139
161,0.17186765,0.5865657,0.011202619,0.0108716395,0.17288822,0.00054743915,0.034562513,0.011494247
